ds,MAPE,y
2022-10-01,0.0253,856.0151542339287
2022-11-01,0.0115,867.8842015290077
2022-12-01,0.0116,867.4903970558365
2023-01-01,0.0082,871.4354524620676
2023-02-01,0.05,837.2651673597644
2023-03-01,0.0404,845.6733400314694
